Time;Free Memory;CPU Usage;Drive Space;Number of Data Files;Temperatur 1;Temperatur 2;Temperatur 3;Logging Status
2023.03.22 03:08:00;4333568.000000;42.937747;36.789121;2323;49.625000;41.812500;43.562500;3
2023.03.22 03:10:00;4620288.000000;45.038320;36.783780;2323;49.562500;41.812500;43.437500;3
2023.03.22 03:12:00;4952064.000000;52.893713;36.777823;2324;49.687500;41.812500;43.562500;3
2023.03.22 03:14:00;4476928.000000;40.513573;36.772482;2324;49.625000;41.812500;43.437500;3
2023.03.22 03:16:01;4845568.000000;67.106608;36.767141;2324;49.812500;41.875000;43.437500;3
2023.03.22 03:18:01;4603904.000000;66.291702;36.761902;2324;49.750000;41.875000;43.500000;3
2023.03.22 03:20:00;4284416.000000;55.388863;36.756561;2325;49.750000;41.875000;43.437500;3
2023.03.22 03:22:00;5062656.000000;58.753604;36.750604;2325;49.812500;41.875000;43.500000;3
2023.03.22 03:24:00;4411392.000000;45.135914;36.745263;2325;49.625000;41.875000;43.562500;3
2023.03.22 03:26:00;3936256.000000;55.933910;36.739922;2325;49.750000;41.875000;43.562500;3
2023.03.22 03:28:01;4407296.000000;50.986724;36.734683;2325;49.875000;41.937500;43.562500;3
2023.03.22 03:30:00;4739072.000000;56.990321;36.729342;2326;49.875000;41.937500;43.562500;3
2023.03.22 03:32:01;6221824.000000;57.071750;36.723385;2326;49.875000;42.000000;43.687500;3
2023.03.22 03:34:01;4603904.000000;56.386813;36.718044;2326;49.750000;42.000000;43.625000;3
2023.03.22 03:36:01;5324800.000000;57.292676;36.712703;2326;50.000000;42.000000;43.750000;3
2023.03.22 03:38:01;5738496.000000;60.638139;36.707464;2326;50.000000;42.062500;43.687500;3
2023.03.22 03:40:00;4349952.000000;57.159508;36.702123;2327;50.062500;42.062500;43.812500;3
2023.03.22 03:42:00;5754880.000000;67.750433;36.696166;2327;50.062500;42.125000;43.812500;3
2023.03.22 03:44:00;3977216.000000;69.702686;36.690825;2327;50.062500;42.125000;43.812500;3
2023.03.22 03:46:00;5451776.000000;62.096993;36.685484;2327;50.125000;42.187500;43.875000;3
2023.03.22 03:48:00;4214784.000000;73.127873;36.680245;2327;50.187500;42.187500;43.812500;3
2023.03.22 03:50:00;3842048.000000;59.598094;36.674904;2328;50.062500;42.250000;43.937500;3
2023.03.22 03:52:01;6483968.000000;65.475657;36.668947;2328;50.125000;42.312500;43.937500;3
2023.03.22 03:54:01;4866048.000000;41.020465;36.663606;2328;50.125000;42.312500;44.000000;3
2023.03.22 03:56:00;5562368.000000;42.378759;36.658265;2328;50.125000;42.312500;43.937500;3
2023.03.22 03:58:00;3842048.000000;42.080063;36.653026;2328;50.187500;42.312500;43.937500;3
2023.03.22 04:00:01;4603904.000000;72.914027;36.647685;2329;50.312500;42.375000;44.062500;3
2023.03.22 04:02:00;5341184.000000;43.521738;36.641728;2329;50.312500;42.375000;44.062500;3
2023.03.22 04:04:00;3850240.000000;52.803495;36.636387;2329;50.437500;42.437500;44.125000;3
2023.03.22 04:06:00;4485120.000000;64.266241;36.631046;2329;50.312500;42.437500;44.125000;3
2023.03.22 04:08:01;5238784.000000;57.183600;36.625807;2329;50.312500;42.500000;44.187500;3
2023.03.22 04:10:00;4730880.000000;55.321798;36.620466;2329;50.312500;42.500000;44.187500;3
2023.03.22 04:12:00;6897664.000000;67.875090;36.614509;2330;50.562500;42.562500;44.250000;3
2023.03.22 04:14:00;5238784.000000;55.239827;36.609168;2330;50.500000;42.562500;44.125000;3
2023.03.22 04:16:00;5705728.000000;47.855428;36.603827;2330;50.562500;42.625000;44.312500;3
2023.03.22 04:18:01;4349952.000000;47.135921;36.598588;2330;50.625000;42.625000;44.312500;3
2023.03.22 04:20:00;3936256.000000;50.978456;36.593247;2331;50.562500;42.687500;44.312500;3
2023.03.22 04:22:01;5746688.000000;63.537125;36.587290;2331;50.625000;42.687500;44.375000;3
2023.03.22 04:24:01;3833856.000000;45.649898;36.581538;2331;50.625000;42.750000;44.375000;3
2023.03.22 04:26:01;4730880.000000;58.253028;36.576608;2331;50.750000;42.750000;44.437500;3
2023.03.22 04:28:01;4317184.000000;61.908327;36.571369;2331;50.750000;42.750000;44.375000;3
2023.03.22 04:30:01;4984832.000000;54.513278;36.566028;2332;50.687500;42.812500;44.437500;3
2023.03.22 04:32:00;5865472.000000;39.712386;36.560071;2332;50.750000;42.812500;44.437500;3
2023.03.22 04:34:01;4063232.000000;48.320270;36.554730;2332;50.750000;42.812500;44.500000;3
2023.03.22 04:36:00;4730880.000000;41.695146;36.549389;2332;50.625000;42.812500;44.437500;3
2023.03.22 04:38:00;4198400.000000;68.818740;36.544150;2332;50.687500;42.812500;44.437500;3
2023.03.22 04:40:00;5058560.000000;42.529538;36.538809;2332;50.625000;42.812500;44.500000;3
2023.03.22 04:42:00;5562368.000000;37.751618;36.532852;2333;50.500000;42.812500;44.437500;3
2023.03.22 04:44:00;4030464.000000;56.223693;36.527511;2333;50.687500;42.750000;44.375000;3
2023.03.22 04:46:00;4730880.000000;40.128935;36.522170;2333;50.812500;42.750000;44.500000;3
2023.03.22 04:48:00;4104192.000000;50.608846;36.516931;2333;50.625000;42.750000;44.375000;3
2023.03.22 04:50:00;4063232.000000;56.735935;36.511590;2334;50.687500;42.750000;44.312500;3
2023.03.22 04:52:01;4952064.000000;51.149948;36.505222;2334;50.625000;42.750000;44.375000;3
2023.03.22 04:54:00;4452352.000000;63.110389;36.500292;2334;50.687500;42.750000;44.437500;3
2023.03.22 04:56:01;4222976.000000;49.899454;36.494951;2334;50.625000;42.750000;44.437500;3
2023.03.22 04:58:01;3809280.000000;46.360641;36.489712;2334;50.687500;42.750000;44.437500;3
2023.03.22 05:00:01;4485120.000000;57.769678;36.484371;2335;50.687500;42.750000;44.500000;3
2023.03.22 05:02:00;6389760.000000;63.210808;36.478414;2335;50.750000;42.750000;44.562500;3
2023.03.22 05:04:00;4739072.000000;74.873360;36.473073;2335;50.750000;42.812500;44.437500;3
2023.03.22 05:06:00;4198400.000000;74.175260;36.467732;2335;50.687500;42.750000;44.437500;3
2023.03.22 05:08:01;4603904.000000;51.414262;36.462493;2335;50.750000;42.812500;44.437500;3
2023.03.22 05:10:00;4341760.000000;53.994881;36.457152;2335;50.687500;42.812500;44.375000;3
2023.03.22 05:12:00;6643712.000000;63.402625;36.451195;2336;50.750000;42.812500;44.375000;3
2023.03.22 05:14:00;4739072.000000;51.582916;36.445854;2336;50.500000;42.812500;44.500000;3
2023.03.22 05:16:00;5500928.000000;48.975541;36.440513;2336;50.750000;42.812500;44.437500;3
2023.03.22 05:18:01;3969024.000000;70.699913;36.435274;2336;50.750000;42.750000;44.437500;3
2023.03.22 05:20:00;4476928.000000;43.756863;36.429933;2336;50.562500;42.750000;44.500000;3
2023.03.22 05:22:01;6008832.000000;44.490077;36.423976;2337;50.625000;42.750000;44.437500;3
2023.03.22 05:24:01;4325376.000000;65.019134;36.418635;2337;50.625000;42.750000;44.375000;3
2023.03.22 05:26:00;4698112.000000;50.876544;36.413294;2337;50.500000;42.750000;44.312500;3
2023.03.22 05:28:01;3928064.000000;56.606897;36.408055;2337;50.625000;42.750000;44.375000;3
2023.03.22 05:30:01;4554752.000000;62.377065;36.402714;2338;50.625000;42.687500;44.375000;3
2023.03.22 05:32:00;5754880.000000;41.148792;36.396757;2338;50.625000;42.687500;44.437500;3
2023.03.22 05:34:00;4485120.000000;71.759643;36.391416;2338;50.625000;42.687500;44.437500;3
2023.03.22 05:36:00;4952064.000000;45.419441;36.386075;2338;50.625000;42.687500;44.312500;3
2023.03.22 05:38:01;4222976.000000;58.222988;36.380836;2338;50.562500;42.687500;44.375000;3
2023.03.22 05:40:01;3842048.000000;59.198085;36.375495;2339;50.625000;42.625000;44.312500;3
2023.03.22 05:42:00;6246400.000000;52.562105;36.369538;2339;50.625000;42.625000;44.375000;3
2023.03.22 05:44:01;4722688.000000;62.169605;36.364197;2339;50.500000;42.625000;44.312500;3
2023.03.22 05:46:01;4063232.000000;61.539564;36.358856;2339;50.500000;42.625000;44.250000;3
2023.03.22 05:48:00;4833280.000000;50.506287;36.353617;2339;50.312500;42.562500;44.250000;3
2023.03.22 05:50:00;4358144.000000;61.035305;36.348276;2340;50.500000;42.562500;44.250000;3
2023.03.22 05:52:01;6381568.000000;64.590942;36.342319;2340;50.500000;42.562500;44.187500;3
2023.03.22 05:54:01;4730880.000000;61.872981;36.336978;2340;50.312500;42.562500;44.187500;3
2023.03.22 05:56:00;5492736.000000;43.325809;36.331637;2340;50.250000;42.500000;44.125000;3
2023.03.22 05:58:00;3969024.000000;37.609109;36.326398;2340;50.250000;42.500000;44.187500;3
2023.03.22 06:00:00;4603904.000000;60.577411;36.321057;2340;50.312500;42.500000;44.125000;3
2023.03.22 06:02:00;5976064.000000;50.550009;36.315100;2341;50.250000;42.437500;44.062500;3
2023.03.22 06:04:00;4096000.000000;43.269609;36.309759;2341;50.375000;42.437500;44.187500;3
2023.03.22 06:06:00;4857856.000000;54.676694;36.304417;2341;50.125000;42.375000;44.062500;3
2023.03.22 06:08:00;5181440.000000;42.482667;36.299179;2341;50.125000;42.375000;43.937500;3
2023.03.22 06:10:00;3842048.000000;65.322658;36.293838;2342;50.187500;42.312500;43.937500;3
2023.03.22 06:12:00;6000640.000000;57.521265;36.287881;2342;50.250000;42.312500;43.937500;3
2023.03.22 06:14:00;4038656.000000;46.729546;36.282540;2342;50.000000;42.250000;44.000000;3
2023.03.22 06:16:01;4857856.000000;43.078389;36.277198;2342;50.062500;42.250000;43.937500;3
2023.03.22 06:18:00;5365760.000000;43.128186;36.271960;2342;50.062500;42.187500;43.812500;3
2023.03.22 06:20:00;4730880.000000;55.541365;36.266619;2343;50.062500;42.187500;43.875000;3
2023.03.22 06:22:00;5746688.000000;37.723821;36.260662;2343;49.937500;42.125000;43.812500;3
2023.03.22 06:24:00;3842048.000000;35.936720;36.255321;2343;49.875000;42.062500;43.687500;3
2023.03.22 06:26:00;4689920.000000;51.050984;36.249979;2343;49.812500;42.062500;43.687500;3
2023.03.22 06:28:01;4214784.000000;49.841235;36.244741;2343;49.812500;42.000000;43.500000;3
2023.03.22 06:30:00;3833856.000000;40.946988;36.239400;2343;49.750000;41.937500;43.625000;3
2023.03.22 06:32:00;5738496.000000;48.837019;36.233443;2344;49.812500;41.937500;43.625000;3
2023.03.22 06:34:01;4476928.000000;63.727761;36.228102;2344;49.812500;41.875000;43.625000;3
2023.03.22 06:36:00;3850240.000000;56.242549;36.222760;2344;49.500000;41.875000;43.500000;3
2023.03.22 06:38:00;4476928.000000;48.405269;36.217522;2344;49.625000;41.812500;43.437500;3
2023.03.22 06:40:00;4087808.000000;37.585153;36.212181;2344;49.562500;41.750000;43.375000;3
2023.03.22 06:42:00;5992448.000000;39.862301;36.206224;2345;49.437500;41.750000;43.312500;3
2023.03.22 06:44:01;4730880.000000;59.636577;36.200883;2345;49.562500;41.687500;43.312500;3
2023.03.22 06:46:01;5246976.000000;50.567123;36.195541;2345;49.437500;41.625000;43.187500;3
